Word,Count,TF.IDF
incident,4,0.010256410256410256
sinister,0,0.0
comply,6,0.0
breaks,0,0.0
forgotten,11,0.0
precious,11,0.009080023189130733
compliment,1,0.001889655369656939
unkempt,0,0.0
lover,10,0.0038975152165397443
plentiful,0,0.0
malignant,2,0.008907515867519008
terrible,100,0.18896553696569388
rate,20,0.007795030433079489
mole,0,0.0
assert,1,0.001889655369656939
lights,10,0.008254566535573393
rage,8,0.015117242957255512
submitted,0,0.0
ferret,0,0.0
snow,43,0.08125518089524837
headache,1,0.002564102564102564
purchasing,0,0.0
termination,0,0.0
remarked,5,0.004127283267786696
germans,0,0.0
laughing,1,8.254566535573393E-4
michael,2,0.0
darkened,0,0.0
relapsed,1,0.005953661781762468
est,0,0.0
alpha,0,0.0
quitted,0,0.0
4th,0,0.0
irs,1,0.0
california,0,0.0
implored,7,0.04167563247233728
snapped,1,0.002564102564102564
bandy,0,0.0
litter,1,0.0033895592176599034
jeremiah,0,0.0
scribbled,0,0.0
blurs,0,0.0
outhouse,0,0.0
wiser,1,0.001889655369656939
rouse,0,0.0
accident,9,0.00350776369488577
plumped,0,0.0
muscles,0,0.0
locations,2,0.0
beneath,3,0.003958255175613526
premises,0,0.0
ideas,8,0.010555347134969402
marshy,0,0.0
silk,4,0.010256410256410256
speciously,0,0.0
biography,0,0.0
sweet,66,0.0
interposed,0,0.0
attica,0,0.0
eye,22,0.008574533476387437
predominates,0,0.0
striking,3,0.003958255175613526
simon,0,0.0
indication,0,0.0
wreaths,3,0.007692307692307693
prolong,2,0.006779118435319807
glint,0,0.0
allowed,3,0.002476369960672018
reference,1,0.002564102564102564
villages,1,0.0033895592176599034
impressions,0,0.0
stables,0,0.0
secretary,1,0.0033895592176599034
unobserved,1,0.004453757933759504
vivid,1,0.0033895592176599034
researches,1,0.004453757933759504
penal,0,0.0
diadem,0,0.0
claspings,0,0.0
straining,1,0.0033895592176599034
swarm,2,0.011907323563524936
booted,0,0.0
typewriter,11,0.06549027959938715
shelves,1,0.001889655369656939
beautiful,31,0.0
silvered,0,0.0
providing,4,0.0
sunday,2,7.795030433079489E-4
altogether,16,0.006236024346463591
writing,22,0.0
believing,0,0.0
lasting,0,0.0
baxter,0,0.0
reabsorbed,0,0.0
funny,8,0.015117242957255512
complying,3,0.0
orgies,0,0.0
meningen,0,0.0
unreasoning,0,0.0
foie,0,0.0
fashion,11,0.0042872667381937185
blotched,0,0.0
planted,1,0.0033895592176599034
alteration,1,0.0
fordham,0,0.0
conviction,9,0.030506032958939135
monogram,0,0.0
explore,2,0.006779118435319807
horace,0,0.0
accommodate,0,0.0
tune,2,0.003779310739313878
killed,5,0.0019487576082698722
cord,1,0.002564102564102564
cells,0,0.0
astonishment,6,0.007916510351227053
moods,7,0.023726914523619323
flitted,3,0.010168677652979711
divined,0,0.0
brixton,0,0.0
weird,4,0.023814647127049872
elements,2,0.005128205128205128
londoners,0,0.0
negro,0,0.0
wash,0,0.0
ku,0,0.0
concluding,0,0.0
side,69,0.0
respects,1,0.002564102564102564
warranties,3,0.0
midst,11,0.02078620906622633
baits,0,0.0
dangerous,11,0.009080023189130733
beg,4,0.0
panelled,0,0.0
enable,0,0.0
bow,13,0.01715243909432528
succeed,3,0.003958255175613526
housemaid,0,0.0
execution,0,0.0
impetuous,0,0.0
perfection,1,0.002564102564102564
wanting,7,0.005778196574901375
contemptuous,2,0.006779118435319807
ascertained,2,0.008907515867519008
mission,6,0.0
routine,3,0.010168677652979711
subsided,0,0.0
pre,0,0.0
poker,0,0.0
imprisonment,0,0.0
measure,11,0.0042872667381937185
health,12,0.015833020702454105
120,0,0.0
widow,1,0.001889655369656939
sparkled,1,0.0033895592176599034
scandal,1,0.002564102564102564
pulling,6,0.004952739921344036
panel,0,0.0
gordon,0,0.0
entreaties,0,0.0
retorted,0,0.0
quality,2,0.0026388367837423504
trustees,0,0.0
maid,6,0.0023385091299238468
adapt,0,0.0
klux,0,0.0
vegetables,0,0.0
cruelty,2,0.0026388367837423504
rolling,6,0.015384615384615385
bearings,1,0.004453757933759504
staining,0,0.0
bordered,0,0.0
foul,15,0.01979127587806763
sailed,4,0.010256410256410256
damaged,1,0.0
barton,0,0.0
faults,1,0.0013194183918711752
pomposity,0,0.0
crystallised,0,0.0
irene,0,0.0
ventured,3,0.0011692545649619234
bedrooms,0,0.0
metallic,1,0.0033895592176599034
copyright,15,0.0
unpapered,0,0.0
rod,0,0.0
interesting,10,0.0038975152165397443
register,0,0.0
swag,0,0.0
cocksure,0,0.0
romper,0,0.0
staples,0,0.0
constant,4,0.0
,1,0.0
slighted,1,0.0033895592176599034
trouble,53,0.0
thrusting,0,0.0
shiny,0,0.0
delicately,0,0.0
conceives,0,0.0
minds,5,0.004127283267786696
roylott,0,0.0
earrings,0,0.0
fashioned,4,0.007558621478627756
gipsies,2,0.006779118435319807
shaven,2,0.011907323563524936
screaming,2,0.0026388367837423504
filthy,1,0.004453757933759504
smarting,0,0.0
huffed,0,0.0
seeking,2,0.0026388367837423504
spellbound,0,0.0
stain,1,0.001889655369656939
secret,19,0.0
finger,13,0.005066769781501668
read,84,0.0
number,21,0.0
mass,15,0.05084338826489856
lunatic,21,0.09352891660894957
butler,0,0.0
comely,0,0.0
yawning,0,0.0
misgivings,0,0.0
papers,38,0.03136735283517889
flicked,0,0.0
actor,0,0.0
mexico,0,0.0
