Word,Count,TF.IDF
incident,0,0.0
sinister,0,0.0
comply,6,0.0
breaks,1,0.0031474478449699107
forgotten,12,0.0
precious,1,7.664954640175294E-4
compliment,5,0.008773399930550074
unkempt,0,0.0
lover,5,0.0018095606362505956
plentiful,0,0.0
malignant,0,0.0
terrible,40,0.07018719944440059
rate,19,0.006876330417752263
mole,0,0.0
assert,2,0.00350935997222003
lights,4,0.0030659818560701177
rage,7,0.012282759902770104
submitted,0,0.0
ferret,0,0.0
snow,1,0.001754679986110015
headache,0,0.0
purchasing,0,0.0
termination,0,0.0
remarked,8,0.0061319637121402355
germans,0,0.0
laughing,22,0.016862900208385646
michael,2,0.0
darkened,3,0.009442343534909732
relapsed,0,0.0
est,0,0.0
alpha,0,0.0
quitted,0,0.0
4th,0,0.0
irs,1,0.0
california,0,0.0
implored,0,0.0
snapped,1,0.002380952380952381
bandy,0,0.0
litter,2,0.006294895689939821
jeremiah,0,0.0
scribbled,1,0.005528400225922292
blurs,0,0.0
outhouse,0,0.0
wiser,0,0.0
rouse,0,0.0
accident,6,0.0021714727635007147
plumped,0,0.0
muscles,0,0.0
locations,2,0.0
beneath,10,0.012251742210232341
premises,0,0.0
ideas,5,0.006125871105116171
marshy,0,0.0
silk,15,0.03571428571428571
speciously,0,0.0
biography,0,0.0
sweet,7,0.0
interposed,0,0.0
attica,0,0.0
eye,10,0.003619121272501191
predominates,0,0.0
striking,2,0.0024503484420464686
simon,0,0.0
indication,0,0.0
wreaths,3,0.007142857142857143
prolong,0,0.0
glint,0,0.0
allowed,9,0.006898459176157765
reference,0,0.0
villages,0,0.0
impressions,0,0.0
stables,2,0.004761904761904762
secretary,1,0.0031474478449699107
unobserved,0,0.0
vivid,7,0.022032134914789375
researches,0,0.0
penal,0,0.0
diadem,0,0.0
claspings,0,0.0
straining,1,0.0031474478449699107
swarm,0,0.0
booted,0,0.0
typewriter,0,0.0
shelves,2,0.00350935997222003
beautiful,44,0.0
silvered,0,0.0
providing,4,0.0
sunday,2,7.238242545002383E-4
altogether,0,0.0
writing,4,0.0
believing,1,0.002380952380952381
lasting,0,0.0
baxter,0,0.0
reabsorbed,0,0.0
funny,1,0.001754679986110015
complying,3,0.0
orgies,1,0.004135632367062396
meningen,0,0.0
unreasoning,0,0.0
foie,0,0.0
fashion,2,7.238242545002383E-4
blotched,0,0.0
planted,0,0.0
alteration,1,0.0
fordham,0,0.0
conviction,0,0.0
